"TI3";""Lgroup"";""Lshark"";""Lfishc"";""Crus"";""Scom"";""Ceph"";""Seabird"";""Sschool"";""Lschool"";""Plongi"";""Pescul"";""Sfisho"";""Mende"";""Bmoll"";""Fishh"";""Zoopl"";""Prown"";""Echino"";""Sess"";""Phyto"";""Benthau"";""Decomp"";""Turtle"";;SUM
""Zoopl"";"42873304,65";"467183212,65";"57557151018,81";"134103492648,59";"12570209643,25";"41005322207,59";"1835818612,09";"1585813977437,51";"200592748903,41";"4019117930,47";"10875032192,81";"70712585054,76";"27604354044,23";"45947804084,20";"329647693826,48";"174023777699,92";"8934996926,08";"47492632552,66";"1008555433380,79";"15587951227926,00";"503356072917,98";"4444112691882,32";"74833606,03";;"24297297031013,30"
""Prown"";"212727,89";"1394207,16";"48447417,75";"209095808,47";"32506953,48";"15331417,49";"1197658,45";"416225545,19";"54741640,55";"8211159,98";"13556862,89";"82796744,73";"20190709,63";"436952661,51";"2976466557,43";"7445830771,73";"7402396,83";"336417792,63";"2019933667,14";"4183089973,06";"1564560138,10";"1334496454,21";"383794,28";;"21209443060,56"
""Echino"";"5590922,39";"101226159,44";"9253201433,19";"3962441881,01";"12505835063,65";"508735767,30";"15653971,61";"7531105093,06";"1027819187,21";"519541973,49";"1392641054,30";"2446025349,81";"692776750,79";"6062252821,92";"37840405397,49";"34300234621,37";"291562086,94";"6644848971,68";"19412895234,63";"98828292282,96";"632646854413,89";"48647482257,66";"12436822,21";;"924649859518,00"
""Sess"";"30492715,30";"536648600,38";"47617109426,10";"34427180826,25";"61305793883,91";"5370933501,57";"273343592,07";"149536123355,46";"19235184722,69";"2976588903,59";"7573853806,18";"15998262595,75";"5809485812,16";"46271905744,47";"21968591101,89";"896493718560,71";"2154595911,62";"23892794134,93";"180518715926,10";"1591318301617,18";"3058681620845,03";"553650171826,38";"46532064,46";;"6725687949474,17"
""Phyto"";"37354703,46";"484644800,28";"6434774500,90";"124565376756,43";"12064094812,68";"1819151694,29";"779901514,53";"12212423039,09";"2157149570,38";"3572396411,78";"3430967727,50";"26349135410,69";"8075010116,64";"290565564210,10";"257068603160,56";"8659972904403,35";"2788726648,70";"76021763294,58";"994573938510,74";"140933994404,88";"262787119366,62";"87547958736,60";"47597863,21";;"10974290551658,00"
""Benthau"";"52935666,86";"169330051,31";"26456318891,44";"136017117756,69";"699799316,14";"1292771177,32";"119724493,33";"37888774724,43";"6640087493,98";"493829274,82";"697802234,11";"87016868974,98";"1483180854,89";"286739581696,46";"6488290534506,21";"307606489005,43";"1147344101,27";"535316569119,45";"2102843614330,96";"289065831303,28";"13578189150,11";"84695648046,96";"690742075,66";;"10409003084246,10"
""Decomp"";"12728716,09";"135662988,30";"2484447555,51";"35723514286,54";"3099446454,82";"622011676,85";"202770672,26";"7653281286,08";"1180589646,65";"983103173,83";"953635503,60";"9134216230,75";"2265565431,28";"83010784741,06";"229180105564,39";"2222056345941,16";"800697872,52";"33679026178,38";"311428221652,34";"78793162862,94";"69296439311,15";"34946278972,02";"29801533,93";;"3127671838252,46"
""Turtle"";"2831,47";"47773,56";"4576527,10";"2144288,86";"6236807,82";"171488,27";"4829,05";"1230826,41";"193328,83";"246560,22";"648469,00";"1326009,49";"304899,59";"3931196,87";"37042795,56";"20787112,79";"127931,43";"4783393,16";"14541270,15";"23798931,60";"313973670,76";"16556407,74";"7929,73";;"452685279,42"


"WO3";""Lgroup"";""Lshark"";""Lfishc"";""Crus"";""Scom"";""Ceph"";""Seabird"";""Sschool"";""Lschool"";""Plongi"";""Pescul"";""Sfisho"";""Mende"";""Bmoll"";""Fishh"";""Zoopl"";""Prown"";""Echino"";""Sess"";""Phyto"";""Benthau"";""Decomp"";""Turtle"";;SUM
""Lgroup"";"0";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,00"
""Lshark"";"0,00";"0";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";;"0,00"
""Lfishc"";"0,00";"0,00";"0";"0,11";"0,11";"0,02";"0,00";"0,09";"0,04";"0,00";"0,02";"0,11";"0,02";"0,13";"0,11";"0,13";"0,00";"0,11";"0,13";"0,13";"0,13";"0,13";"0,00";;"1,52"
""Crus"";"0,00";"0,00";"0,11";"0";"0,09";"0,02";"0,00";"0,13";"0,04";"0,00";"0,02";"0,13";"0,02";"0,15";"0,13";"0,17";"0,00";"0,13";"0,17";"0,17";"0,17";"0,15";"0,00";;"1,83"
""Scom"";"0,00";"0,00";"0,11";"0,09";"0";"0,02";"0,00";"0,07";"0,04";"0,00";"0,02";"0,09";"0,02";"0,11";"0,09";"0,11";"0,00";"0,09";"0,11";"0,11";"0,11";"0,11";"0,00";;"1,28"
""Ceph"";"0,00";"0,00";"0,02";"0,02";"0,02";"0";"0,00";"0,02";"0,02";"0,00";"0,00";"0,02";"0,02";"0,02";"0,02";"0,02";"0,00";"0,02";"0,02";"0,02";"0,02";"0,02";"0,00";;"0,33"
