TI3;"MarMamm""""";"SerLal""""";"Bran""""";"TriLepTwo""""";"Tham""""";"PriMac""""";"Spar""""";"Ljelly""""";"Cepha""""";"Argentin""""";"Shri""""";"SDemFish""""";"Strom""""";"SetTat""""";"ShaRay""""";"Saur""""";"LophLit""""";"PenArg""""";"Crab""""";"EngJap""""";"SPelaFish""""";"Zoopl""""";"Sphyr""""";"ScomberJap""""";"DecaMar""""";"Sard""""";"TriLepOne""""";"ChampCap""""";"MacroBenth""""";"MicroBenth""""";"ScoNiph""""";"NibAlb""""";"LarPoly""""";"TraJap""""";"AciSin""""";"LarCroOne""""";"Bird""""";"HarNeh""""";"Phyto""""";"Pleuron""""";"HetBaci""""";"Coilia""""";;SUM;
"LarPoly""""";0,05;0,01;0,02;0,14;0,01;0,07;0,01;0,04;0,11;0;0,1;0,13;0;0,01;0;0,01;0,04;0,07;0,07;0,06;0;0,14;0;0,1;0,05;0,01;0,02;0,05;0,13;0,1;0,06;0;0;0,06;0,02;0;0,02;0,01;0,11;0,01;0;0;;1,85;0,02812405
"Ljelly""""";0,06;0,04;0,01;0,11;0,02;0,04;0,01;0;0,06;0,04;0,05;0,07;0,02;0,02;0,01;0,01;0,05;0,01;0,02;0,07;0,02;0,12;0;0,06;0,05;0,02;0,01;0;0,06;0,01;0,05;0;0,04;0,07;0,04;0;0,05;0;0,1;0;0,01;0;;1,43;0,02173913
"LophLit""""";0,06;0,04;0,04;0,11;0,05;0,02;0,01;0,05;0,06;0;0,07;0,08;0,01;0,01;0,02;0,01;0;0,05;0,07;0,05;0,02;0,12;0;0,06;0,02;0,01;0,01;0;0,07;0,06;0,01;0;0,04;0,04;0,01;0;0,04;0;0,05;0;0,01;0;;1,38;0,020979021
"MacroBenth""""";0,1;0,06;0,05;0,32;0,05;0,1;0,04;0,06;0,21;0,01;0,21;0,32;0;0,05;0,05;0,04;0,07;0,06;0,21;0,17;0,01;0,33;0;0,12;0,06;0,01;0,04;0,05;0;0,21;0,12;0;0,13;0,1;0,04;0;0,04;0,04;0,18;0,02;0,02;0;;3,68;0,055944056
"MarMamm""""";0;0,07;0,04;0,15;0,05;0,02;0,02;0,06;0,1;0,02;0,08;0,13;0,02;0,01;0,04;0,02;0,06;0,04;0,1;0,05;0,01;0,15;0;0,05;0,02;0,01;0,02;0,02;0,1;0,08;0,05;0;0,05;0,04;0;0;0,02;0;0,08;0;0;0;;1,8;0,02736394
"MicroBenth""""";0,08;0,04;0,05;0,2;0,04;0,07;0,02;0,01;0,14;0;0,15;0,23;0;0,04;0,02;0,04;0,06;0,05;0,19;0,08;0,02;0,21;0;0,07;0,01;0;0,05;0,04;0,21;0;0,05;0;0,1;0,04;0;0;0,01;0,04;0,12;0,02;0,02;0;;2,52;0,038309517
"NibAlb""""";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0
"PenArg""""";0,04;0,02;0,04;0,08;0,02;0,05;0,01;0,01;0,05;0;0,07;0,07;0,01;0;0;0,01;0,05;0;0,06;0,02;0,01;0,08;0;0,06;0,02;0;0;0,02;0,06;0,05;0,04;0;0,07;0,04;0,01;0;0,02;0,01;0,04;0,01;0;0;;1,17;0,017786561
"Phyto""""";0,08;0,07;0,01;0,27;0;0,07;0;0,1;0,14;0,02;0,17;0,2;0,02;0,05;0,01;0,02;0,05;0,04;0,12;0,18;0,05;0,29;0;0,11;0,08;0,02;0,05;0,05;0,18;0,12;0,15;0;0,11;0,08;0,06;0;0,08;0,02;0;0;0,01;0;;3,1;0,047126786
"Pleuron""""";0;0;0,01;0,01;0,01;0,01;0,01;0;0,01;0;0,02;0,02;0;0;0;0;0;0,01;0,02;0,01;0,01;0,02;0;0,01;0;0;0;0,01;0,02;0,02;0;0;0,01;0;0;0;0;0,01;0;0;0,01;0;;0,31;0,004712679
"PriMac""""";0,02;0,04;0,04;0,12;0,02;0;0,02;0,04;0,08;0,01;0,07;0,11;0,01;0,04;0;0,02;0,02;0,05;0,07;0,04;0;0,12;0;0,07;0,05;0;0,01;0,02;0,1;0,07;0,04;0;0,07;0,04;0,01;0;0,01;0,05;0,07;0,01;0;0;;1,56;0,023715415
"Sard""""";0,01;0,02;0;0,04;0,01;0;0;0,02;0,04;0;0,02;0,02;0;0,01;0,01;0,01;0,01;0;0,01;0,02;0;0,04;0;0,02;0,04;0;0,02;0;0,01;0;0,02;0;0,01;0,01;0,02;0;0;0;0,02;0;0;0;;0,5;0,007601095
